Type,Lots,EntryBarNum,ExitBarNum,OrderPrice,ExitLimitPrice
SHORT,396.22,8977,8991,99.53,93.56
SHORT,229.79,8992,9015,93.71,106.8
LONG,549.26,9001,9042,103.27,95.32
SHORT,624.82,9018,9048,100.79,93.08
SHORT,193.36,9049,9149,90.27,100.65
SHORT,343.91,9212,9275,91.42,88.12
SHORT,310.58,9325,9410,87.87,94.28
LONG,1062.31,9379,9414,93.2,96.65
LONG,268.98,9482,9689,101.4,104.34
LONG,332.05,9691,9701,102.95,105.63
LONG,298.48,9702,9720,104.35,108.9
LONG,229.78,9721,9793,107.88,111.58
LONG,217.03,9794,9828,111.64,116.04
LONG,181.3,9829,9980,115.36,105.43
SHORT,1015.02,9988,9996,107.1,103.11
SHORT,411.65,9997,10060,103.45,98.72
SHORT,238.09,10061,10130,99.7,109.9
LONG,351.14,10165,10178,114.23,119.03
LONG,159.25,10179,10187,122.93,131.65
LONG,117.02,10188,10204,129.0,135.71
LONG,96.18,10205,10359,133.85,142.74
LONG,86.0,10360,10469,144.68,151.12
LONG,92.69,10510,10521,161.44,169.04
LONG,78.44,10522,10538,168.31,176.65
LONG,61.83,10539,10568,179.56,192.23
LONG,53.23,10569,10613,189.45,202.9
LONG,45.5,10614,10979,203.93,181.1
SHORT,566.87,10977,10983,185.43,179.13
SHORT,238.02,10984,11001,178.5,190.58
LONG,630.83,10997,11045,185.72,177.98
SHORT,435.65,11015,11048,183.49,175.55
SHORT,174.71,11049,11165,175.18,169.81
SHORT,195.98,11196,11224,173.0,167.74
SHORT,147.77,11225,11229,167.47,150.99
SHORT,74.01,11230,11252,149.26,139.35
SHORT,66.69,11253,11254,143.55,133.73
SHORT,45.32,11255,11473,124.4,158.03
SHORT,181.38,11572,11652,134.96,130.12
SHORT,109.43,11674,11749,120.58,148.86
LONG,605.29,11728,11791,142.97,147.85
LONG,487.21,11846,11881,145.39,152.95
SHORT,555.33,11855,11874,141.08,146.47
LONG,191.32,11882,11959,152.57,138.73
LONG,192.76,12024,12027,155.69,161.53
LONG,147.21,12028,12057,160.34,166.79
LONG,109.44,12058,12084,169.2,175.04
LONG,95.91,12085,12140,175.27,181.44
